date,spot,ticker,strike,expiry,dte,years_to_expiry,moneyness,target_moneyness,target_dte,option_type,close,volume
2026-03-05,677.7084350585938,O:SPY260630P00680000,680.0,2026-06-30,117,0.3203285420944558,1.0033813433961585,1.0,120,put,25.25,636
2026-03-05,677.7084350585938,O:SPY260430C00745000,745.0,2026-04-30,56,0.1533196440793976,1.0992927953384384,1.1,60,call,0.32,25
2026-03-05,677.7084350585938,O:SPY260430P00575000,575.0,2026-04-30,56,0.1533196440793976,0.8484474594893987,0.85,60,put,3.04,893
2026-03-05,677.7084350585938,O:SPY260529C00678000,678.0,2026-05-29,85,0.2327173169062286,1.0004302217979344,1.0,90,call,27.19,57
2026-03-05,677.7084350585938,O:SPY260529P00678000,678.0,2026-05-29,85,0.2327173169062286,1.0004302217979344,1.0,90,put,20.66,448
2026-03-05,677.7084350585938,O:SPY260529C00712000,712.0,2026-05-29,85,0.2327173169062286,1.0505992889677425,1.05,90,call,8.12,65
2026-03-05,677.7084350585938,O:SPY260529C00745000,745.0,2026-05-29,85,0.2327173169062286,1.0992927953384384,1.1,90,call,1.56,35
2026-03-05,677.7084350585938,O:SPY260529P00575000,575.0,2026-05-29,85,0.2327173169062286,0.8484474594893987,0.85,90,put,5.49,39
2026-03-06,668.8256225585938,O:SPY260831C00702000,702.0,2026-08-31,178,0.487337440109514,1.049600936809953,1.05,180,call,24.54,33
2026-03-06,668.8256225585938,O:SPY260831C00735000,735.0,2026-08-31,178,0.487337440109514,1.0989411517881986,1.1,180,call,10.42,25
2026-03-06,668.8256225585938,O:SPY260831P00600000,600.0,2026-08-31,178,0.487337440109514,0.8970948177862845,0.9,180,put,17.15,124
2026-03-06,668.8256225585938,O:SPY260402P00669000,669.0,2026-04-02,27,0.0739219712525667,1.0002607218317072,1.0,30,put,14.26,267
2026-03-06,668.8256225585938,O:SPY260402C00702000,702.0,2026-04-02,27,0.0739219712525667,1.049600936809953,1.05,30,call,2.48,38
2026-03-06,668.8256225585938,O:SPY260402P00635000,635.0,2026-04-02,27,0.0739219712525667,0.9494253488238178,0.95,30,put,7.84,272
2026-03-06,668.8256225585938,O:SPY260402P00570000,570.0,2026-04-02,27,0.0739219712525667,0.8522400768969703,0.85,30,put,2.2,545
2026-03-06,668.8256225585938,O:SPY260402P00600000,600.0,2026-04-02,27,0.0739219712525667,0.8970948177862845,0.9,30,put,3.94,419
2026-03-06,668.8256225585938,O:SPY260630C00635000,635.0,2026-06-30,116,0.3175906913073237,0.9494253488238178,0.95,120,call,60.82,51
2026-03-06,668.8256225585938,O:SPY260630P00635000,635.0,2026-06-30,116,0.3175906913073237,0.9494253488238178,0.95,120,put,18.12,35
2026-03-06,668.8256225585938,O:SPY260630C00735000,735.0,2026-06-30,116,0.3175906913073237,1.0989411517881986,1.1,120,call,4.49,37
2026-03-06,668.8256225585938,O:SPY260630C00770000,770.0,2026-06-30,116,0.3175906913073237,1.151271682825732,1.15,120,call,0.74,38
2026-03-06,668.8256225585938,O:SPY260630P00670000,670.0,2026-06-30,116,0.3175906913073237,1.001755879861351,1.0,120,put,28.22,323
2026-03-06,668.8256225585938,O:SPY260630C00670000,670.0,2026-06-30,116,0.3175906913073237,1.001755879861351,1.0,120,call,34.82,112
2026-03-06,668.8256225585938,O:SPY260430P00669000,669.0,2026-04-30,55,0.1505817932922655,1.0002607218317072,1.0,60,put,20.44,40
2026-03-06,668.8256225585938,O:SPY260430C00702000,702.0,2026-04-30,55,0.1505817932922655,1.049600936809953,1.05,60,call,7.15,124
2026-03-06,668.8256225585938,O:SPY260430P00635000,635.0,2026-04-30,55,0.1505817932922655,0.9494253488238178,0.95,60,put,12.21,2114
2026-03-06,668.8256225585938,O:SPY260630P00700000,700.0,2026-06-30,116,0.3175906913073237,1.0466106207506654,1.05,120,put,40.5,92
2026-03-06,668.8256225585938,O:SPY260630C00700000,700.0,2026-06-30,116,0.3175906913073237,1.0466106207506654,1.05,120,call,16.96,238
2026-03-06,668.8256225585938,O:SPY260430P00570000,570.0,2026-04-30,55,0.1505817932922655,0.8522400768969703,0.85,60,put,4.62,121
2026-03-06,668.8256225585938,O:SPY260430P00600000,600.0,2026-04-30,55,0.1505817932922655,0.8970948177862845,0.9,60,put,7.14,723
2026-03-06,668.8256225585938,O:SPY260529C00702000,702.0,2026-05-29,84,0.2299794661190965,1.049600936809953,1.05,90,call,11.87,63
2026-03-06,668.8256225585938,O:SPY260529P00570000,570.0,2026-05-29,84,0.2299794661190965,0.8522400768969703,0.85,90,put,6.85,31
2026-03-09,674.6845092773438,O:SPY260410C00675000,675.0,2026-04-10,32,0.0876112251882272,1.0004676122221838,1.0,30,call,17.8,381
2026-03-09,674.6845092773438,O:SPY260410P00675000,675.0,2026-04-10,32,0.0876112251882272,1.0004676122221838,1.0,30,put,15.02,559
2026-03-09,674.6845092773438,O:SPY260410C00708000,708.0,2026-04-10,32,0.0876112251882272,1.0493793621530465,1.05,30,call,2.09,484
2026-03-09,674.6845092773438,O:SPY260410P00575000,575.0,2026-04-10,32,0.0876112251882272,0.8522501881892678,0.85,30,put,1.97,356
2026-03-09,674.6845092773438,O:SPY260630P00607000,607.0,2026-06-30,113,0.3093771389459274,0.899679763879801,0.9,120,put,15.27,25
2026-03-09,674.6845092773438,O:SPY260630P00675000,675.0,2026-06-30,113,0.3093771389459274,1.0004676122221838,1.0,120,put,25.29,224
2026-03-09,674.6845092773438,O:SPY260630C00675000,675.0,2026-06-30,113,0.3093771389459274,1.0004676122221838,1.0,120,call,33.0,122
2026-03-09,674.6845092773438,O:SPY260515P00675000,675.0,2026-05-15,67,0.1834360027378508,1.0004676122221838,1.0,60,put,20.5,1363
2026-03-09,674.6845092773438,O:SPY260515C00675000,675.0,2026-05-15,67,0.1834360027378508,1.0004676122221838,1.0,60,call,25.53,612
2026-03-09,674.6845092773438,O:SPY260515C00708000,708.0,2026-05-15,67,0.1834360027378508,1.0493793621530465,1.05,60,call,7.62,46
2026-03-09,674.6845092773438,O:SPY260630P00573000,573.0,2026-06-30,113,0.3093771389459274,0.8492858397086095,0.85,120,put,8.51,195
2026-03-09,674.6845092773438,O:SPY260630C00775000,775.0,2026-06-30,113,0.3093771389459274,1.1486850362551,1.15,120,call,0.58,78
